Adhyay No. ,Shloka No.,Shloka,Meaning,Simplfied Meaning,,
1,0,"om śrīparamātmane namaḥ
śrīmadbhagavadgītā
atha prathamo'dhyāyaḥ
",,,,
1,1,"dhṛtarāṣṭra uvāca
dharmakṣetre     kurukṣetre,     samavetā     yuyutsavaḥ।
māmakāḥ(ph)   pāṇḍavāścaiva,   kimakurvata   sañjaya॥1.1॥
","Dhṛtarāṣṭra said: 
Sañjaya, gathered on the holy land of Kurukṣetra, eager to fight, what did my sons and the sons of Pāņḍu do?Kurukṣetra, eager to fight, what did my sons and the sons of Pāņḍu do?","Dhṛtarāṣṭra said: 
Sañjaya, gathered on the holy land of Kurukṣetra, eager to fight, what did my sons and the sons of Pāṇḍu do? ",,
1,2,"sañjaya uvāca
dṛṣṭvā tu pāṇḍavānīkaṃ(v̐), vyūḍhaṃ(n) duryodhanastadā।
ācāryamupasaṅgamya,      rājā     vacanamabravīt॥1.2॥
","Sañjaya said: 
At that time, seeing the army of the Pāņḍavas drawn up for battle and approaching Droņācārya, King Duryodhana spoke the following words :","Sañjaya said: 
At that time, seeing the army of the Pāṇḍavas drawn up for battle and approaching Droṇācārya, King Duryodhana spoke the following words :
",,
1,3,"paśyaitāṃ(m)  pāṇḍuputrāṇām,  ācārya  mahatīṃ(ñ) camūm।
vyūḍhāṃ(n)   drupadaputreṇa,  tava  śiṣyeṇa  dhīmatā॥1.3॥
","Behold, O Revered Master, the mighty army of the sons of Pāņḍu arrayed for battle by your talented pupil, Dhṛṣṭadyumna, son of Drupada.","Behold, O Revered Master, the mighty army of the sons of Pāṇḍu arrayed for battle by your talented pupil, Dhṛṣṭadyumna, son of Drupada.
",,
1,4,"atra   śūrā   maheṣvāsā,   bhīmārjunasamā   yudhi।
yuyudhāno    virāṭaśca,    drupadaśca   mahārathaḥ॥1.4॥
","There are in this army, heroes wielding mighty bows and equal in military prowess to Bhīma and Arjuna-Sātyaki and Virāṭa and the Mahārathī (warrior chief) Drupada; ","There are in this army, heroes wielding mighty bows and equal in military prowess to Bhīma and Arjuna-Sātyaki and Virāṭa and the Mahārathī (the great chariot warrior) Drupada; 
",,
1,5,"dhṛṣṭaketuścekitānaḥ(kh),     kāśirājaśca    vīryavān।
purujitkuntibhojaśca,     śaibyaśca    narapuṅgavaḥ॥1.5॥ 
","Dhṛṣṭaketu, Cekitāna and the valiant King of Kāśī, and Purujit, Kuntibhoja, and Śaibya, the best of men,","Dhṛṣṭaketu, Cekitāna and the valiant King of Kāśī, and Purujit, Kuntibhoja, and Śaibya, the best of men,
",,
1,6,"yudhāmanyuśca   vikrānta,   uttamaujāśca   vīryavān।
saubhadro   draupadeyāśca,   sarva   eva  mahārathāḥ॥1.6॥
","and mighty Yudhāmanyu, and valiant Uttamaujā, Abhimanyu, the son of Subhadrā, and the five sons of Draupadī - all of them Mahārathīs (warrior chiefs).","and mighty Yudhāmanyu, and valiant Uttamaujā, Abhimanyu, the son of Subhadrā, and the five sons of Draupadī - all of them Mahārathīs (the great chariot warrior).
",,
1,7,"asmākaṃ(n)  tu   viśiṣṭā  ye,   tānnibodha   dvijottama।
nāyakā  mama  sainyasya,  sañjñārthaṃ(n)  tānbravīmi  te॥1.7॥
","O best of Brāhmaņas, know them also who are the principal warriors on our side- the generals of my army. For your information I mention them.","O best of Brāhmaṇas, know them also who are the principal warriors on our side- the generals of my army. For your information I mention them.",,
1,8,"bhavānbhīṣmaśca    karṇaśca,   kṛpaśca   samitiñjayaḥ।
aśvatthāmā   vikarṇaśca,   saumadattistathaiva   ca॥1.8॥
","""Yourself and Bhīṣma and Karņa and Kṛpa, who is ever victorious in battle; and even so Aśvatthāmā, Vikarņa and Bhūriśravā (the son of Somadatta);","""Yourself and Bhīṣma and Karṇa and Kṛpa, who is ever victorious in battle; and even so Aśvatthāmā, Vikarṇa and Bhūriśravā (the son of Somadatta);
",,
1,9,"anye  ca  bahavaḥ(ś)  śūrā,  madarthe  tyaktajīvitāḥ।
nānāśastrapraharaṇāḥ(s),    sarve    yuddhaviśāradāḥ॥1.9॥
","And there are many other heroes, all skilled in warfare equipped with various weapons and missiles, who have staked their lives for me.","And there are many other heroes, all skilled in warfare equipped with various weapons and missiles, who have staked their lives for me.",,
1,10,"aparyāptaṃ(n) tadasmākaṃ(m), balaṃ(m) bhīṣmābhirakṣitam।
paryāptaṃ(n)  tvidameteṣāṃ(m),  balaṃ(m)  bhīmābhirakṣitam॥1.10॥
","This army of ours, fully protected by Bhīṣma, is unconquerable; while that army of theirs, guarded in everyway by Bhīma, is easy to conquer.","This army of ours, fully protected by Bhīṣma, is unconquerable; while that army of theirs, guarded in everyway by Bhīma, is easy to conquer.",,
1,11,"ayaneṣu     ca    sarveṣu,     yathābhāgamavasthitāḥ।
bhīṣmamevābhirakṣantu,  bhavantaḥ(s)  sarva  eva  hi॥1.11॥
","Therefore, stationed in your respective positions on all fronts, do you all guard Bhīṣma in particular on all sides. ","Therefore, stationed in your respective positions on all fronts, do you all guard Bhīṣma in particular on all sides. ",,
1,12,"tasya sañjanayanharṣaṃ(ṅ), kuruvṛddhaḥ(ph) pitāmahaḥ।
siṃhanādaṃ(m) vinadyoccaiḥ(ś), śaṅkhaṃ(n) dadhmau pratāpavān॥1.12॥
","The grand old man of the Kaurava race, their glorious grand-patriarch Bhīṣma, cheering up Duryodhana, roared terribly like a lion and blew his conch.","The grand old man of the Kaurava race, their glorious grand-patriarch Bhīṣma, cheering up Duryodhana, roared terribly like a lion and blew his conch.
",,
1,13,"tataḥ(ś)  śaṅkhāśca  bheryaśca,  paṇavānakagomukhāḥ।
sahasaivābhyahanyanta,   sa   śabdastumulo'bhavat॥1.13॥

","Then conches, kettledrums, tabors, drums and trumpets blared forth all at once and the noise was tumultuous. ","Then conches, kettledrums, tabors, drums and trumpets blared forth all at once and the noise was tumultuous. 
",,
1,14,"tataḥ(ś)  śvetairhayairyukte,  mahati  syandane  sthitau।
mādhavaḥ(ph)  pāṇḍavaścaiva,   divyau  śaṅkhau pradadhmatuḥ॥1.14॥
","Then, seated in a glorious chariot drawn by white horses, Śrī Kṛṣņa as well as Arjuna blew their celestial conches.","Then, seated in a glorious chariot drawn by white horses, Śrī Kṛṣṇa as well as Arjuna blew their celestial conches.
",,
1,15,"pāñcajanyaṃ(m)  hṛṣīkeśo,  devadattaṃ(n)  dhanañjayaḥ।
pauṇḍraṃ(n) dadhmau mahāśaṅkhaṃ(m), bhīmakarmā vṛkodaraḥ॥1.15॥
","Śrī Kṛṣņa blew His conch named Pāñcajanya; Arjuna, Devadatta; while Bhīma of ferocious deeds blew his mighty conch Pauņḍra. ","Śrī Kṛṣṇa blew His conch named Pāñcajanya; Arjuna, Devadatta; while Bhīma of ferocious deeds blew his mighty conch Pauṇḍra. 
",,
1,16,"anantavijayaṃ(m)    rājā,    kuntīputro    yudhiṣṭhiraḥ।
nakulaḥ(s)    sahadevaśca,     sughoṣamaṇipuṣpakau॥1.16॥
","King Yudhiṣṭhira, son of Kuntī, blew his conch Anantavijaya, while Nakula and Sahadeva blew theirs, known as Sughoṣa and Maņipuṣpaka respectively.","King Yudhiṣṭhira, son of Kuntī, blew his conch Anantavijaya, while Nakula and Sahadeva blew theirs, known as Sughoṣa and Maṇipuṣpaka respectively.",,
1,17,"kāśyaśca  parameṣvāsaḥ(ś),  śikhaṇḍī  ca  mahārathaḥ।
dhṛṣṭadyumno     virāṭaśca,     sātyakiścāparājitaḥ॥1.17॥
","And the excellent archer, the King of Kāśī, and Śikhaņḍī the Mahārathī (the great chariot-warrior), Dhṛṣṭadyumna and Virāṭa, and invincible Sātyaki, ","And the excellent archer, the King of Kāśī, and Śikhaṇḍī the Mahārathī (the great chariot-warrior), Dhṛṣṭadyumna and Virāṭa, and invincible Sātyaki, 
",,
1,18,"drupado    draupadeyāśca,   sarvaśaḥ(ph)    pṛthivīpate।
saubhadraśca mahābāhuḥ(ś), śaṅkhāndadhmuḥ(ph) pṛthak pṛthak॥1.18॥
","Drupada as well as the five sons of Draupadī, and the mighty-armed Abhimanyu, son of Subhadrā, all of them, O lord of the earth, severally blew their respective conches from all sides.","Drupada, along with the five sons of Draupadi and the mighty-armed Abhimanyu, son of Subhadra, O lord of the earth, blew their respective conches from all sides.
",,
1,19,"sa   ghoṣo   dhārtarāṣṭrāṇāṃ(m),   hṛdayāni    vyadārayat।
nabhaśca    pṛthivīṃ(ñ)    caiva,    tumulo    vyanunādayan॥1.19॥
","And the terrible sound, echoing through heaven and earth, rent the hearts of  Dhṛtarāṣṭra's army.","And the terrible sound, echoing through heaven and earth, rent the hearts of  Dhṛtarāṣṭra's army.
",,
