Adhyay No. ,Shloka No.,Shloka,Meaning,
1,0,"ॐ श्रीपरमात्मने नम:
श्रीमद्भगवद्गीता
अथ प्रथमोऽध्याय:  
",,
1,1,"धृतराष्ट्र उवाच
धर्मक्षेत्रे कुरुक्षेत्रे, समवेता युयुत्सवः।
मामकाः(फ्)   पाण्डवाश्चैव,  किमकुर्वत   सञ्जय॥1.1॥
","धृतराष्ट्र बोले  -
हे संजय!  धर्मभूमि कुरुक्षेत्र में युद्ध की इच्छा से इकट्ठे हुए मेरे और पाण्डु के पुत्रों ने क्या किया?",
1,2,"सञ्जय उवाच
दृष्ट्वा तु पाण्डवानीकं(व्ँ), व्यूढं(न्) दुर्योधनस्तदा।
आचार्यमुपसङ्गम्य,      राजा      वचनमब्रवीत्॥1.2॥
",संजय बोले - उस समय व्यूहरचनायुक्त पाण्डवों की सेना को देखकर राजा दुर्योधन ने द्रोणाचार्य के पास जाकर यह वचन कहा।,
1,3,"पश्यैतां(म्) पाण्डुपुत्राणाम्, आचार्य महतीं(ञ्) चमूम्।
व्यूढां(न्)   द्रुपदपुत्रेण,   तव   शिष्येण   धीमता॥1.3॥
",हे आचार्य! आपके बुद्धिमान शिष्य द्रुपदपुत्र धृष्टद्युम्न के द्वारा व्यूहकार खड़ी की हुई पाण्डवों की इस बड़ी भारी सेना को देखिये।,
1,4,"अत्र शूरा महेष्वासा, भीमार्जुनसमा युधि।
युयुधानो     विराटश्च,     द्रुपदश्च     महारथः॥1.4॥
","यहाँ (पाण्डवों की सेना में) बड़े-बड़े शूरवीर हैं, (जिनके) बहुत बड़े-बड़े धनुष हैं तथा (जो) युद्ध में भीम और अर्जुन के समान हैं। (उनमें) युयुधान (सात्यकि), राजा विराट और महारथी द्रुपद (भी हैं)। ",
1,5,"धृष्टकेतुश्चेकितानः(ख्), काशिराजश्च वीर्यवान्।
पुरुजित्कुन्तिभोजश्च,     शैब्यश्च      नरपुङ्गवः॥1.5॥
",धृष्टकेतु और चेकितान तथा पराक्रमी काशिराज (भी हैं)। पुरुजित् और कुन्तिभोज (– ये दोनों भाई) तथा मनुष्यों में श्रेष्ठ शैब्य (भी हैं)। ,
1,6,"युधामन्युश्च विक्रान्त, उत्तमौजाश्च वीर्यवान्।
सौभद्रो    द्रौपदेयाश्च,    सर्व    एव   महारथाः॥1.6॥
",पराक्रमी युधामन्यु और पराक्रमी उत्तमौजा (भी हैं)। सुभद्रा पुत्र अभिमन्यु और द्रौपदी के पाँचों पुत्र (भी हैं)। (ये) सब के सब महारथी हैं।,
1,7,"अस्माकं(न्) तु विशिष्टा ये, तान्निबोध द्विजोत्तम।
नायका मम  सैन्यस्य,  सञ्ज्ञार्थं(न्) तान्ब्रवीमि ते॥1.7॥
","हे द्विजोत्तम! हमारे पक्ष में भी जो मुख्य (हैं), उन पर (भी आप) ध्यान दीजिये। आपकी जानकारी के लिये मेरी सेना के (जो) नायक हैं, उनको (मैं) कहता हूँ।",
1,8,"भवान्भीष्मश्च कर्णश्च, कृपश्च समितिञ्जयः।
अश्वत्थामा   विकर्णश्च,    सौमदत्तिस्तथैव    च॥1.8॥
","आप (द्रोणाचार्य) और पितामह भीष्म तथा कर्ण और संग्राम विजयी कृपाचार्य तथा वैसे ही अश्वत्थामा, विकर्ण और सोमदत्त का पुत्र भूरिश्रवा (हैं)।",
1,9,"अन्ये च बहवः(श्) शूरा, मदर्थे त्यक्तजीविताः।
नानाशस्त्रप्रहरणाः(स्),    सर्वे     युद्धविशारदाः॥1.9॥
","इनके अतिरिक्त बहुत से शूरवीर हैं, (जिन्होंने) मेरे लिये अपने जीने की इच्छा का भी त्याग कर दिया है और जो अनेक प्रकार के -शस्त्रास्त्रों को चलाने वाले हैं (तथा जो) सब के सब युद्धकला में अत्यन्त चतुर हैं।",
1,10,"अपर्याप्तं(न्) तदस्माकं(म्), बलं(म्) भीष्माभिरक्षितम्।
पर्याप्तं(न्)  त्विदमेतेषां(म्), बलं(म्) भीमाभिरक्षितम्॥1.10॥
",हमारी वह सेना (पाण्डवों पर विजय करने में) अपर्याप्त है (पर्याप्त है) (क्योंकि) उसके संरक्षक (उभय पक्षपाती) भीष्म हैं परन्तु इन पाण्डवों की यह सेना (हम पर विजय करने में) पर्याप्त है (समर्थ है) क्योंकि इसके संरक्षक (निज सेना पक्षपाती) भीमसेन हैं। ,
1,11,"अयनेषु च सर्वेषु, यथाभागमवस्थिताः।
भीष्ममेवाभिरक्षन्तु,    भवन्तः(स्)    सर्व  एव  हि॥1.11॥
",(दुर्योधन बाह्य दृष्टि से अपनी सेना के महारथियों से बोला) आप सब के सब लोग सभी मोर्चों पर अपनी-अपनी जगह दृढ़ता से स्थित रहते हुए ही निश्चित रूप से पितामह भीष्म की चारों ओर से रक्षा करें।,
1,12,"तस्य सञ्जनयन्हर्षं(ङ्), कुरुवृद्धः(फ्) पितामहः।
सिंहनादं(व्ँ) विनद्योच्चैः(श्), शङ्खं(न्) दध्मौ प्रतापवान्॥1.12॥
",उस (दुर्योधन) के (हृदय में) हर्ष उत्पन्न करते हुए कौरवों में वृद्ध प्रभावशाली पितामह भीष्म ने सिंह के समान गरज कर जोर से शंख बजाया।,
1,13,"ततः(श्) शङ्खाश्च भेर्यश्च, पणवानकगोमुखाः।
सहसैवाभ्यहन्यन्त,     स     शब्दस्तुमुलोऽभवत्॥1.13॥
","उसके बाद शंख और भेरी (नगाड़े) तथा ढोल, मृदंग और नरसिंघे बाजे एक साथ ही बज उठे। (उनका) वह शब्द बड़ा भयंकर हुआ।",
1,14,"ततः(श्) श्वेतैर्हयैर्युक्ते, महति स्यन्दने स्थितौ।
माधवः(फ्)  पाण्डवश्चैव,  दिव्यौ  शङ्खौ  प्रदध्मतुः॥1.14॥
",उसके पश्चात् सफेद घोड़ों से युक्त महान रथ पर बैठे हुए (लक्ष्मीपति) भगवान् श्रीकृष्ण और पाण्डुपुत्र अर्जुन ने भी दिव्य शंखों को बड़े जोर से बजाया।,
1,15,"पाञ्चजन्यं(म्) हृषीकेशो, देवदत्तं(न्) धनञ्जयः।
पौण्ड्रं(न्) दध्मौ महाशङ्खं(म्), भीमकर्मा वृकोदरः॥1.15॥
",अन्तर्यामी भगवान् श्रीकृष्ण ने पाञ्चजन्य नामक (तथा) धनञ्जय अर्जुन ने देवदत्त नामक (शंख बजाया और) भयानक कर्म करने वाले वृकोदर भीम ने पौण्ड्र नामक महाशंख बजाया।,
1,16,"अनन्तविजयं(म्) राजा, कुन्तीपुत्रो युधिष्ठिरः।
नकुलः(स्)     सहदेवश्च,     सुघोषमणिपुष्पकौ॥1.16॥
",कुन्तीपुत्र राजा युधिष्ठिर ने अनन्तविजय नामक (शंख बजाया तथा) नकुल और सहदेव ने सुघोष और मणिपुष्पक नामक (शंख बजाये)।,
1,17,"काश्यश्च परमेष्वासः(श्), शिखण्डी च महारथः।
धृष्ट?म्नो     विराटश्च,     सात्यकिश्चापराजितः॥1.17॥
","हे राजन्! श्रेष्ठ धनुष वाले काशिराज और महारथी शिखण्डी तथा धृष्टद्युम्न एवं राजा विराट और अजेय सात्यकि (ने अपने शंख बजाये), ",
1,18,"द्रुपदो द्रौपदेयाश्च, सर्वशः(फ्) पृथिवीपते।
सौभद्रश्च महाबाहुः(श्), शङ्खान्दध्मुः(फ्) पृथक् पृथक्॥1.18॥
",राजा द्रुपद और द्रौपदी के पाँचों पुत्र तथा लम्बी-लम्बी भुजाओं वाले सुभद्रापुत्र अभिमन्यु (इन सभी ने) सब ओर से अलग-अलग (अपने - अपने) शंख बजाये। ,
1,19,"स घोषो धार्तराष्ट्राणां(म्), हृदयानि व्यदारयत्।
नभश्च   पृथिवीं(ञ्)   चैव,   तुमुलो   व्यनुनादयन्॥1.19॥
",और (पाण्डव-सेना के शंखों के) उस भयंकर शब्द ने आकाश और पृथ्वी को भी गुँजाते हुए धार्तराष्ट्रों (अर्थात दुर्योधन इत्यादि) आपके पक्ष वालों के हृदय विदीर्ण कर दिये।,
1,20,"अथ व्यवस्थितान्दृष्ट्वा, धार्तराष्ट्रान्कपिध्वजः।
प्रवृत्ते    शस्त्रसम्पाते,   धनुरुद्यम्य   पाण्डवः॥1.20॥
","हे महीपते (धृतराष्ट्र) अब शास्त्र चलने की तैयारी हो रही थी कि उस समय धृतराष्ट्रों को (अन्यायपूर्वक राज्य धारण करने वाले राजाओं और उनके साथियों) व्यवस्थित रूप से सामने खड़े देखकर कपिध्वज, पाण्डु पुत्र अर्जुन ने (अपना) गाण्डीव धनुष उठा लिया",
1,21,"हृषीकेशं(न्) तदा वाक्यम्, इदमाह महीपते।
अर्जुन उवाच
सेनयोरुभयोर्मध्ये,   रथं(म्)   स्थापय   मेऽच्युत॥1.21॥

","अन्तर्यामी भगवान् कृष्ण से अर्जुन ने यह कहा - हे अच्युत! दोनों सेनाओं के मध्य में मेरे रथ को (आप तब तक) खड़ा कीजिये, ",
1,22,"यावदेतान्निरीक्षेऽहं(य्ँ), योद्धुकामानवस्थितान्।
कैर्मया    सह   योद्धव्यम्,     अस्मि?  रणसमुद्यमे॥1.22॥
",जब तक मैं युद्धक्षेत्र में खड़े हुए इन युद्ध की इच्छावालों को देख न लूँ कि इस युद्धरूप उद्योग में मुझे किन-किनके साथ युद्ध करना योग्य है।,
1,23,"योत्स्यमानानवेक्षेऽहं(य्ँ), य एतेऽत्र समागताः।
धार्तराष्ट्रस्य     दुर्बुद्धे: (र्),     युद्धे   प्रियचिकीर्षवः॥1.23॥
","दुर्बुद्धि दुर्योधन का युद्ध में प्रिय करने की इच्छा वाले, जो ये राजा लोग इस सेना में आये हुए हैं, युद्ध करने को उतावले हुए (इन सबको) मैं देख लूँ।",
1,24,"सञ्जय उवाच
एवमुक्तो हृषीकेशो, गुडाकेशेन भारत।
सेनयोरुभयोर्मध्ये,     स्थापयित्वा    रथोत्तमम्॥1.24॥
",संजय बोले - हे भरतवंशी राजन्! निद्रा विजयी अर्जुन के द्वारा इस तरह कहने पर अन्तर्यामी भगवान् श्रीकृष्ण ने दोनों सेनाओं के मध्य भाग में उत्तम रथ को खड़ा करके इस तरह कहा-,
1,25,"भीष्मद्रोणप्रमुखतः(स्), सर्वेषां(ञ्) च महीक्षिताम्।
उवाच   पार्थ   पश्यैतान्,   समवेतान्कुरूनिति॥1.25॥
",(भगवान कृष्ण ने) कहा कि पार्थ पितामह भीष्म और आचार्य द्रोण के सामने तथा सम्पूर्ण राजाओं के सामने इस तरह कहा कि 'हे पार्थ! इन इकट्ठे हुए कुरुवंशियों को देख'। ,
1,26,"तत्रापश्यत्स्थितान्पार्थः(फ्), पितॄनथ पितामहान्।
आचार्यान्मातुलान्भ्रातॄन्,        पुत्रान्पौत्रान्सखींस्तथा॥1.26॥
","उसके पश्चात् पृथानन्दन अर्जुन ने उन दोनों ही सेनाओं में स्थित पिताओं को, पितामहों को, आचार्यों को, मामाओं को, भाइयों को, पुत्रों को, पौत्रों को तथा मित्रों को भी देखा ",
1,27,"श्वशुरान्सुहृदश्चैव, सेनयोरुभयोरपि।
तान्समीक्ष्य  स  कौन्तेयः(स्), सर्वान्बन्धूनवस्थितान्॥1.27॥
",दोनों ही सेनाओं में स्थित श्वसुरों सुहृदों को देखा अपनी जगहों पर स्थित उन सभी बन्धवों को देखा,
1,28,"कृपया परयाविष्टो, विषीदन्निदमब्रवीत्।
अर्जुन उवाच
दृष्ट्वेमं(म्)  स्वजनं(ङ्) कृष्ण, युयुत्सुं(म्) समुपस्थितम्॥1.28॥
","अत्यन्त कायरता से युक्त होकर विषाद करते हुए अर्जुन ऐसा बोले - हे कृष्ण युद्ध की इच्छा वाले इस कुटुम्ब समुदाय को अपने सामने उपस्थित देख कर (अप्रिय लग रहा है)
",
1,29,"सीदन्ति मम गात्राणि, मुखं(ञ्) च परिशुष्यति।
वेपथुश्च   शरीरे   मे,   रोमहर्षश्च    जायते॥1.29॥
",मेरे अंग शिथिल हो रहे हैं और मुख सूख रहा है तथा मेरे शरीर में कँपकँपी (आ रही है) एवं रोंगटे खड़े हो रहे हैं।,
1,30,"गाण्डीवं(म्) स्रंसते हस्तात्, त्वक्चैव परिदह्यते।
न   च   शक्नोम्यवस्थातुं(म्),   भ्रमतीव   च   मे   मनः॥1.30॥
",हाथ से गाण्डीव धनुष गिर रहा है और त्वचा भी जल रही है। मेरा मन भ्रमित-सा हो रहा है और (मैं) खड़े रहने में भी असमर्थ हो रहा हूँ।,
1,31,"निमित्तानि च पश्यामि, विपरीतानि केशव।
न  च  श्रेयोऽनुपश्यामि,   हत्वा  स्वजनमाहवे॥1.31॥
",हे केशव! मैं लक्षणों को भी विपरीत देख रहा हूँ (और) युद्ध में स्वजनों को मारकर श्रेय (लाभ) भी नहीं देख रहा हूँ।,
1,32,"न काङ्क्षे विजयं(ङ्) कृष्ण, न च राज्यं(म्) सुखानि च।
किं(न्) नो राज्येन गोविन्द, किं(म्) भोगैर्जीवितेन वा॥1.32॥

","हे कृष्ण! (मैं) न तो विजय चाहता हूँ, न राज्य (चाहता हूँ) और न सुखों को (ही चाहता हूँ)। हे गोविन्द! हम लोगों को राज्य से क्या लाभ? भोगों से (क्या लाभ)? अथवा जीने से (भी) क्या लाभ?",
1,33,"येषामर्थे काङ्क्षितं(न्) नो, राज्यं(म्) भोगाः(स्) सुखानि च।
त  इमेऽवस्थिता  युद्धे,  प्राणांस्त्यक्त्वा  धनानि  च॥1.33॥
","जिनके लिये हमारी राज्य, भोग और सुख की इच्छा है, वे (ही) ये सब (अपने) प्राणों की और धन की आशा का त्याग करके युद्ध में खड़े हैं।",
1,34,"आचार्याः(फ्) पितरः(फ्) पुत्रा:(स्), तथैव च पितामहाः।
मातुलाः(श्) ?शुराः(फ्) पौत्राः(श्), श्यालाः(स्) सम्बन्धिनस्तथा॥1.34॥
","आचार्य, पिता, पुत्र और उसी प्रकार पितामह, मामा, ससुर, पौत्र, साले तथा (अन्य जितने भी) सम्बन्धी हैं, ",
1,35,"एतान्न हन्तुमिच्छामि, घ्नतोऽपि मधुसूदन।
अपि त्रैलोक्यराज्यस्य, हेतोः(ख्) किं(न्) नु महीकृते॥1.35॥
",(यदि ये सम्बन्धी मुझ पर) प्रहार भी करें तो मैं इन्हें नहीं मारना चाहता। हे मधुसूदन (मुझे) त्रिलोकी का राज्य मिलता हो तो भी (इन्हें नहीं मारना चाहता है।) फिर (केवल) पृथ्वी के लिये ही (मैं इनको मारू ही) क्या।,
1,36,"निहत्य धार्तराष्ट्रान्नः(ख्), का प्रीतिः(स्) स्याज्जनार्दन।
पापमेवाश्रयेदस्मान्,         हत्वैतानाततायिनः॥1.36॥
",हे जनार्दन! (इन) धृतराष्ट्र-सम्बन्धियों को मारकर हम लोगों को क्या प्रसन्नता होगी? इन आततायियों को मारने से तो हमें पाप ही लगेगा।,
1,37,"तस्मान्नार्हा वयं(म्) हन्तुं(न्), धार्तराष्ट्रान्स्वबान्धवान्।
स्वजनं(म्) हि कथं(म्) हत्वा, सुखिनः(स्) स्याम माधव॥1.37॥
",इसलिये अपने बान्धव (इन) धृतराष्ट्र-सम्बन्धियों को मारने के लिये हम योग्य नहीं हैं; क्योंकि हे माधव! अपने कुटुम्बियों को मारकर (हम) कैसे सुखी होंगे?,
1,38,"यद्यप्येते न पश्यन्ति, लोभोपहतचेतसः।
कुलक्षयकृतं(न्) दोषं(म्),   मित्रद्रोहे   च   पातकम्॥1.38॥
","यद्यपि लोभ के कारण जिनका विवेक-विचार लुप्त हो गया है, ऐसे ये (दुर्योधन आदि) कुल का नाश करने से होने वाले दोष को और मित्रों के साथ द्वेष करने से होने वाले पाप को नहीं देखते,",
